1	11	289
1	12	2100
1	12	1679
1	12	1635
1	12	1271
1	12	552
1	12	334
1	9	2287
1	9	1987
1	9	1822
1	9	1483
1	9	1278
1	9	1025
1	7	2332
1	7	2292
1	7	1686
1	7	1010
1	7	726
1	7	440
1	3	2372
1	3	773
1	1	2058
1	1	2055
1	1	1366
1	1	961
1	1	878
1	1	569
1	1	471
1	8	2432
1	8	2398
1	8	1734
1	8	1378
1	6	2377
1	6	1920
1	6	1796
1	13	2056
1	13	1381
1	13	1290
1	13	1139
1	13	1121
1	13	1111
1	13	384
1	13	355
1	2	2343
1	2	1621
1	2	1278
1	2	862
1	2	452
1	2	399
1	10	1570
1	14	1452
1	14	1131
1	14	862
1	14	740
1	14	539
1	14	537
1	4	2045
1	4	1296
1	4	331
1	5	2116
1	5	1994
1	5	1623
1	11	2476
1	11	2461
1	11	2072
1	11	1391
1	11	328
1	12	2340
1	12	1716
1	12	1644
1	12	1599
1	12	448
1	9	2491
1	9	2328
1	9	1913
1	9	1866
1	9	1353
1	9	1133
1	9	1108
1	9	565
1	7	1596
1	7	1389
1	7	1246
1	7	853
1	3	2447
1	3	2297
1	3	2092
1	3	1996
1	3	1867
1	3	1478
1	1	2374
1	1	1260
1	8	2445
1	8	956
1	6	2133
1	6	2132
1	6	1990
1	6	1710
1	6	1435
1	6	789
1	6	589
1	6	417
1	13	2475
1	13	1694
1	13	1514
1	13	1068
1	13	1049
1	13	499
1	13	420
1	2	1642
1	2	1603
1	2	1437
1	2	1190
1	2	517
1	10	1948
1	10	1824
1	10	677
1	14	1922
1	14	1781
1	14	1360
1	14	1163
1	14	931
1	14	768
1	14	591
1	4	1885
1	4	1353
1	4	870
1	5	1493
1	5	1380
1	5	1181
1	5	987
1	5	732
1	5	516
2	11	2039
2	11	1559
2	11	1238
2	11	1158
2	12	1733
2	12	1197
2	12	1012
2	12	817
2	9	1922
2	9	1654
2	9	1527
2	9	1131
2	9	1101
2	9	1062
2	7	2188
2	7	1476
2	7	969
2	7	786
2	3	1780
2	3	1620
2	3	783
2	1	2213
2	1	1351
2	1	1304
2	1	647
2	8	2252
2	8	2248
2	8	1883
2	8	1794
2	8	1737
2	8	510
2	6	2449
2	6	1784
2	6	1109
2	6	676
2	6	558
2	13	2371
2	13	2204
2	13	1926
2	13	1925
2	13	1470
2	13	706
2	13	595
2	13	446
2	2	1610
2	2	1570
2	2	1244
2	2	877
2	10	1949
2	10	1674
2	10	1434
2	10	1309
2	10	995
2	10	344
2	14	2306
2	14	762
2	4	2275
2	4	2241
2	4	1477
2	4	670
2	4	363
2	5	2153
2	5	1521
2	5	1232
2	5	839
2	5	579
2	11	2498
2	11	2144
2	11	1525
2	11	1339
2	11	887
2	11	491
2	12	1649
2	12	1381
2	12	1339
2	12	1054
2	12	1009
2	9	2270
2	9	1980
2	7	2494
2	7	1621
2	7	621
2	7	253
2	3	2330
2	3	2241
2	3	957
2	3	880
2	3	789
2	3	714
2	3	674
2	1	1580
2	8	1743
2	8	1606
2	8	1523
2	8	885
2	8	671
2	8	471
2	6	2118
2	6	1484
2	6	1164
2	6	770
2	13	1326
2	13	958
2	13	393
2	2	2391
2	2	2259
2	2	1606
2	2	1444
2	2	1166
2	2	988
2	2	908
2	10	2159
2	14	2496
2	14	2295
2	14	2129
2	14	2106
2	14	1459
2	4	2177
2	4	2133
2	4	1432
2	4	1376
2	4	870
2	4	666
2	4	266
2	5	2396
2	5	2162
2	5	2057
2	5	1992
2	5	1896
2	5	1499
2	5	1252
2	5	492
2	5	311
2	11	1446
2	11	1385
2	11	938
2	11	888
2	12	1379
2	12	722
2	9	1752
2	9	981
2	9	915
2	9	727
2	9	338
2	9	274
2	7	1890
2	7	907
2	7	740
2	7	663
2	7	614
2	3	2486
2	3	2236
2	3	2122
2	3	1910
2	3	1862
2	3	1659
2	3	1623
2	3	1472
2	3	1282
2	3	861
2	1	2450
2	1	1575
2	1	1407
2	1	848
2	1	796
2	1	361
2	8	1829
2	8	778
2	8	657
2	8	505
2	8	338
2	6	1888
2	6	1877
2	6	1437
2	6	756
2	13	2276
2	13	1106
2	2	2435
2	2	1512
2	2	1142
2	2	556
2	10	1747
2	10	880
2	10	555
2	10	506
2	14	1893
2	14	1646
2	14	1115
2	14	1046
2	14	847
2	14	603
2	4	1895
2	4	952
2	4	925
2	4	808
